Shannon Guesses, Shannon Time, Knuth WC Guesses, Knuth WC Time, Knuth Avg Guesses, Knuth Avg Time
3,2.4160,3,2.4177,4,2.7128
4,2.4254,2,2.3642,2,2.3886
3,2.4216,2,2.3816,2,2.3733
4,2.4446,2,2.3842,3,2.4184
4,2.4464,4,2.4282,4,2.5184
4,2.4586,4,2.4444,5,2.6320
3,2.4224,2,2.3864,3,2.4290
3,2.4261,4,2.4267,5,2.7072
2,2.3830,4,2.4260,5,2.7236
2,2.3897,3,2.4219,4,2.5054
4,2.4410,3,2.3900,3,2.4329
4,2.4587,4,2.4335,3,2.6889
4,2.4307,4,2.5009,3,2.7288
4,2.4806,3,2.4996,4,2.8633
4,2.5363,5,2.7356,4,2.9486
2,2.4657,2,2.4310,3,2.5399
